Event_ID,Target_ID,Debris_ID,Miss_Distance_km,Relative_Velocity_kms,Collision_Angle_deg,Covariance_Trace,Collision_Probability,Risk_Label
EVT_80223,24171,88195,1.904,13.06,54.7,77.578,0.02365,SAFE
EVT_80224,20369,80348,6.994,12.253,44.2,262.154,0.46851,MEDIUM
EVT_80225,24845,93277,29.901,10.169,120.2,154.319,0.25046,SAFE
EVT_80226,32797,90640,16.96,6.635,120.9,84.538,0.02493,SAFE
EVT_80227,45606,86970,9.74,10.145,40.7,360.388,0.68314,MEDIUM
EVT_80228,38790,91861,7.341,7.266,121.4,424.616,0.41012,MEDIUM
EVT_80229,29657,86218,8.754,12.649,130.4,54.314,0.24915,SAFE
EVT_80230,46841,99912,1.385,8.803,154.2,430.439,0.90987,HIGH
EVT_80231,31728,80033,23.876,12.168,151.1,453.005,0.01472,SAFE
EVT_80232,28671,83209,4.713,6.299,90.2,259.232,0.35522,MEDIUM
EVT_80233,31978,93214,6.02,8.782,170.0,161.003,0.62658,MEDIUM
EVT_80234,36672,97639,29.678,12.499,159.1,60.892,0.01257,SAFE
EVT_80235,34987,82026,5.261,7.797,57.4,210.627,0.764,MEDIUM
EVT_80236,30865,84494,3.8,6.564,68.1,357.199,0.52258,MEDIUM
EVT_80237,37841,96519,8.508,7.173,116.6,372.944,0.74339,MEDIUM
EVT_80238,26010,90892,13.231,7.538,36.5,192.623,0.15045,SAFE
EVT_80239,34058,82875,34.654,5.402,138.5,375.569,0.16652,SAFE
EVT_80240,41456,94604,22.931,8.668,156.5,297.828,0.16557,SAFE
EVT_80241,22758,91064,13.343,8.922,27.3,207.589,0.11037,SAFE
EVT_80242,28794,92009,3.543,8.409,75.1,354.957,0.37232,MEDIUM
EVT_80243,43803,86251,5.531,7.64,32.4,462.894,0.73577,MEDIUM
EVT_80244,39572,81101,2.234,5.262,20.4,333.175,0.40055,MEDIUM
EVT_80245,21567,88676,23.599,9.13,97.5,291.514,0.02751,SAFE
EVT_80246,45586,99041,14.097,5.917,99.7,299.191,0.17659,SAFE
EVT_80247,40868,85151,7.158,11.166,62.0,237.514,0.49771,MEDIUM
EVT_80248,47696,80931,8.132,14.064,169.7,481.519,0.69234,MEDIUM
EVT_80249,21384,89754,28.347,13.027,34.6,498.73,0.26262,SAFE
EVT_80250,26411,80632,19.404,8.467,70.0,36.85,0.0842,SAFE
EVT_80251,46826,92927,0.434,10.155,111.7,332.349,0.89096,HIGH
EVT_80252,28427,98548,11.055,5.824,130.8,259.667,0.06419,SAFE
EVT_80253,41079,98785,39.23,7.039,170.8,29.002,0.13246,SAFE
EVT_80254,33897,92980,7.341,9.76,8.1,199.45,0.38329,MEDIUM
EVT_80255,32469,86741,16.351,5.371,143.4,135.694,0.05093,SAFE
EVT_80256,29677,80226,44.564,11.855,55.3,382.845,0.15454,SAFE
EVT_80257,24926,88349,1.383,13.435,17.9,61.336,0.00771,SAFE
EVT_80258,20524,92561,23.797,5.256,102.3,14.927,0.21672,SAFE
EVT_80259,26009,80048,6.457,11.277,46.7,305.575,0.66876,MEDIUM
EVT_80260,22313,95451,14.648,11.766,0.6,107.184,0.20005,SAFE
EVT_80261,26759,96222,15.304,13.676,24.3,80.192,0.12647,SAFE
EVT_80262,20158,90510,0.73,13.038,104.6,54.819,0.21366,SAFE
EVT_80263,20780,92989,6.314,6.431,118.0,116.335,0.68717,MEDIUM
EVT_80264,35215,87099,8.373,7.502,20.9,29.97,0.26397,SAFE
EVT_80265,41488,80765,9.423,12.461,112.2,315.728,0.4487,MEDIUM
EVT_80266,24356,83002,4.078,12.175,118.2,125.89,0.64905,MEDIUM
EVT_80267,41998,88130,7.86,8.283,50.0,358.959,0.63447,MEDIUM
EVT_80268,37500,85175,1.753,6.267,142.4,182.752,0.61821,MEDIUM
EVT_80269,34795,80001,20.407,13.444,140.9,348.415,0.13285,SAFE
EVT_80270,26129,93657,44.739,8.765,18.0,472.938,0.11526,SAFE
EVT_80271,29046,95317,8.219,14.967,141.1,480.565,0.60224,MEDIUM
EVT_80272,38880,97048,15.035,13.092,16.3,109.016,0.14841,SAFE
EVT_80273,24358,98609,3.486,10.326,144.8,345.49,0.56666,MEDIUM
EVT_80274,47808,87625,1.615,13.147,19.4,62.781,0.1644,SAFE
EVT_80275,20184,82102,21.923,8.428,130.0,286.476,0.03335,SAFE
EVT_80276,34560,89808,8.869,8.721,144.2,341.108,0.51702,MEDIUM
EVT_80277,35806,85107,11.856,14.848,179.1,97.433,0.20441,SAFE
EVT_80278,40689,93613,9.246,6.919,102.1,196.035,0.63261,MEDIUM
EVT_80279,24521,83274,11.558,12.014,139.9,187.773,0.19438,SAFE
EVT_80280,46269,88921,2.928,14.549,102.2,222.868,0.67892,MEDIUM
EVT_80281,48277,80622,1.146,5.653,96.2,110.984,0.57507,MEDIUM
EVT_80282,32778,81774,22.611,12.3,23.2,85.287,0.18357,SAFE
EVT_80283,42131,95744,10.694,7.392,153.6,267.605,0.22427,SAFE
EVT_80284,37884,99393,0.347,8.552,150.8,461.106,0.85513,HIGH
EVT_80285,46965,94170,19.625,14.014,124.8,390.803,0.10097,SAFE
EVT_80286,41417,93053,49.809,5.98,49.5,162.473,0.09653,SAFE
EVT_80287,24513,94959,16.937,10.247,93.2,454.425,0.04648,SAFE
EVT_80288,36608,88004,21.034,5.892,178.1,444.681,0.06495,SAFE
EVT_80289,29919,98263,1.247,13.007,91.9,179.059,0.67484,MEDIUM
EVT_80290,38899,96882,22.321,10.094,116.1,233.838,0.16788,SAFE
EVT_80291,20468,91862,1.775,5.229,128.5,449.789,0.96294,HIGH
EVT_80292,24178,91258,16.485,13.84,35.9,245.15,0.23256,SAFE
EVT_80293,26822,82229,6.739,10.643,26.7,386.869,0.66195,MEDIUM
EVT_80294,34017,85135,5.65,12.138,175.6,49.029,0.04358,SAFE
EVT_80295,23055,88643,1.737,12.497,30.7,498.329,0.87704,HIGH
EVT_80296,48953,90590,6.709,10.29,101.2,207.064,0.53395,MEDIUM
EVT_80297,31547,84313,6.604,6.448,69.5,378.255,0.718,MEDIUM
EVT_80298,43583,94536,1.775,8.431,6.6,176.311,0.33813,MEDIUM
EVT_80299,34662,96191,32.263,14.9,49.8,429.926,0.11257,SAFE
EVT_80300,33584,90101,1.321,12.568,25.2,478.992,0.93427,HIGH
EVT_80301,22151,80652,11.347,8.928,7.8,138.614,0.2893,SAFE
EVT_80302,33861,82774,2.61,9.77,158.8,166.256,0.65419,MEDIUM
EVT_80303,33372,98845,13.168,12.329,102.5,220.196,0.06249,SAFE
EVT_80304,25653,96661,1.413,5.395,128.1,64.628,0.2348,SAFE
EVT_80305,38254,99313,3.676,11.054,117.6,467.405,0.77533,MEDIUM
EVT_80306,48317,85654,29.906,14.463,166.4,277.057,0.03896,SAFE
EVT_80307,38203,89230,25.892,10.85,107.8,140.084,0.2058,SAFE
EVT_80308,32811,84888,16.41,12.685,33.7,428.985,0.10431,SAFE
EVT_80309,46435,82336,6.752,5.315,42.6,205.303,0.59937,MEDIUM
EVT_80310,32112,91455,0.546,8.86,54.0,297.12,0.52164,MEDIUM
EVT_80311,44344,89135,21.532,8.235,68.7,283.088,0.10246,SAFE
EVT_80312,23271,86117,18.361,11.426,25.3,425.162,0.01643,SAFE
EVT_80313,35664,88932,29.764,9.84,45.3,174.391,0.24165,SAFE
EVT_80314,47733,86358,1.004,9.267,57.7,127.389,0.52936,MEDIUM
EVT_80315,27485,95020,3.934,12.836,61.0,271.381,0.53339,MEDIUM
EVT_80316,26341,90089,26.453,14.299,18.0,481.823,0.04572,SAFE
EVT_80317,21439,89311,11.542,6.956,6.1,120.384,0.08623,SAFE
EVT_80318,49970,94918,16.131,11.548,32.0,107.803,0.16676,SAFE
EVT_80319,30450,89768,18.504,7.827,158.9,438.048,0.01528,SAFE
EVT_80320,41347,88850,39.778,5.472,101.7,140.067,0.08321,SAFE
EVT_80321,46617,97847,0.745,7.644,124.0,56.745,0.07394,SAFE
EVT_80322,32178,98107,9.927,13.375,14.8,421.485,0.40682,MEDIUM
EVT_80323,39520,87601,5.005,12.927,32.3,240.239,0.50787,MEDIUM
EVT_80324,23280,98469,0.214,11.876,35.2,31.033,0.12327,SAFE
EVT_80325,33222,85439,6.636,10.945,160.3,271.99,0.68492,MEDIUM
EVT_80326,42198,88104,38.094,6.323,83.4,314.939,0.08802,SAFE
EVT_80327,27890,82296,31.932,6.656,55.9,431.593,0.12747,SAFE
EVT_80328,44656,86167,1.028,13.304,176.4,490.895,0.98809,HIGH
EVT_80329,23993,87700,4.829,14.903,69.9,483.455,0.71855,MEDIUM
EVT_80330,30450,90750,17.627,11.9,27.6,178.408,0.12222,SAFE
EVT_80331,31899,94569,0.491,6.215,179.5,213.094,0.73959,MEDIUM
EVT_80332,35316,89118,37.725,10.464,53.0,198.435,0.18674,SAFE
EVT_80333,43052,88980,15.234,14.064,58.8,236.7,0.06097,SAFE
EVT_80334,35903,86413,0.715,10.947,5.0,429.706,0.96675,HIGH
EVT_80335,39553,93204,3.994,11.39,2.4,499.307,0.76865,MEDIUM
EVT_80336,38117,94168,11.015,12.118,38.3,294.17,0.20721,SAFE
EVT_80337,26586,96003,40.621,9.16,162.6,86.977,0.28883,SAFE
EVT_80338,46702,92920,0.478,5.506,12.4,323.581,0.94951,HIGH
EVT_80339,35364,86470,3.527,12.45,146.0,403.667,0.6047,MEDIUM
EVT_80340,49690,87594,26.957,8.809,107.3,61.664,0.20506,SAFE
EVT_80341,42361,82378,1.915,13.23,125.5,301.908,0.93228,HIGH
EVT_80342,26414,80810,9.335,6.609,122.6,412.627,0.7258,MEDIUM
EVT_80343,38344,94481,10.701,6.51,69.7,416.952,0.28635,SAFE
EVT_80344,32321,80547,15.712,8.156,52.3,401.015,0.19212,SAFE
EVT_80345,26385,92139,23.289,5.654,170.5,319.284,0.02682,SAFE
EVT_80346,43529,86249,13.117,6.112,15.2,436.757,0.169,SAFE
EVT_80347,30881,85718,7.301,12.566,109.1,143.743,0.58986,MEDIUM
EVT_80348,27471,92076,16.969,5.729,25.3,176.821,0.28775,SAFE
